Category,Japanese,Japanese Reading,Chinese,Chinese Pinyin,English,Definition JP,Definition ZH,Definition EN
Property Types,マンション,mansion,公寓,gōngyù,Apartment/Condominium,鉄筋コンクリート造の集合住宅,钢筋混凝土结构的集合住宅,Reinforced concrete multi-unit building
Property Types,一戸建て,ikkodate,独栋住宅,dúdòng zhùzhái,Detached House,独立した一軒家,独立的单户住宅,Single-family standalone dwelling
Property Types,土地,tochi,土地,tǔdì,Land,土地のみ,仅土地,Land parcel only
Property Types,賃貸物件,chintai bukken,租赁房源,zūlìn fángyuán,Rental Property,賃貸用の物件,供租赁的房产,Property for rent
Property Types,売買物件,baibai bukken,买卖房源,mǎimài fángyuán,Sales Property,売買用の物件,供买卖的房产,Property for sale
Property Types,投資用物件,toushi bukken,投资用房产,tóuzī yòng fángchǎn,Investment Property,投資目的の物件,投资用房产,Property for investment
Room Layouts,1R,wan ruumu,单间,dānjiān,Studio,ワンルーム（独立寝室なし）,单间（无独立卧室）,One room (no separate bedroom)
Room Layouts,1K,wan kei,1室+厨房,1shì + chúfáng,1 Bedroom + Kitchen,1部屋＋キッチン,1室+厨房,One room plus kitchen
Room Layouts,1DK,wan di kei,1室+餐厅厨房,1shì + cāntīng chúfáng,1 Bedroom + Dining-Kitchen,1部屋＋ダイニングキッチン,1室+餐厅厨房,One room plus dining-kitchen
Room Layouts,1LDK,wan eru di kei,1室+客餐厅厨房,1shì + kè cāntīng chúfáng,1 Bedroom + Living-Dining-Kitchen,1部屋＋リビングダイニングキッチン,1室+客餐厅厨房,One room plus living-dining-kitchen
Room Layouts,2LDK,tsuu eru di kei,2室+客餐厅厨房,2shì + kè cāntīng chúfáng,2 Bedrooms + Living-Dining-Kitchen,2部屋＋リビングダイニングキッチン,2室+客餐厅厨房,Two rooms plus living-dining-kitchen
Room Layouts,3LDK,san eru di kei,3室+客餐厅厨房,3shì + kè cāntīng chúfáng,3 Bedrooms + Living-Dining-Kitchen,3部屋＋リビングダイニングキッチン,3室+客餐厅厨房,Three rooms plus living-dining-kitchen
Financial Terms,賃料,chinryou,租金,zūjīn,Rent,毎月の賃貸料,每月租金,Monthly rent payment
Financial Terms,管理費,kanrihi,管理费,guǎnlǐ fèi,Management Fee,建物管理の費用,建筑管理费用,Building management fee
Financial Terms,共益費,kyouekihi,共益费,gòngyì fèi,Common Area Fee,共用部分の維持費,公共区域维护费,Maintenance fee for common areas
Financial Terms,敷金,shikikin,押金,yājīn,Security Deposit,退去時返還される保証金,退租时退还的保证金,Refundable deposit returned at move-out
Financial Terms,礼金,reikin,礼金,lǐjīn,Key Money,契約時の返還されない金銭,签约时不退还的金额,Non-refundable payment at signing
Financial Terms,仲介手数料,chuukai tesuuryou,中介费,zhōngjiè fèi,Brokerage Fee,不動産会社への手数料,支付给房地产公司的费用,Commission to real estate agency
Financial Terms,更新料,koushinryou,续约费,xùyuē fèi,Renewal Fee,契約更新時の費用,合同续约时的费用,Fee for lease renewal
Financial Terms,火災保険,kasai hoken,火灾保险,huǒzāi bǎoxiǎn,Fire Insurance,火災に対する保険,火灾保险,Insurance against fire
Amenities,駅近,ekichika,近车站,jìn chēzhàn,Near Station,駅から徒歩5分以内,步行5分钟内到车站,Within 5-minute walk to station
Amenities,ペット可,petto ka,可养宠物,kě yǎng chǒngwù,Pet-Friendly,ペットの飼育可能,可饲养宠物,Pets allowed
Amenities,バス・トイレ別,basu toire betsu,浴厕分离,yù cè fēnlí,Separate Bath/Toilet,浴室とトイレが別室,浴室和厕所分离,Bathroom and toilet in separate rooms
